,Date,Apple,Blackrock,Disney,Ford,GE,Google,JPMorgan
1,1.23284E+12,9.546399492,3.179734257,1.548730956,0.141105172,0.496446921,3.236161192,1.113268961
2,1.23E+12,9.684690495,3.043276974,1.567517207,0.152080626,0.512545491,3.236161192,1.123360887
3,1.23301E+12,9.802453649,3.081371389,1.59683131,0.154432508,0.538956867,3.227888117,1.149033133
4,1.2331E+12,10.17735242,3.397215806,1.674223116,0.15913628,0.55711466,3.303734881,1.268246954
5,1.23319E+12,10.04771553,3.079665762,1.596831307,0.152864587,0.524925824,3.475061148,1.165998123
6,1.23327E+12,9.737629854,3.093027014,1.553991082,0.146592895,0.500577845,3.421738746,1.169666237
7,1.23E+12,9.737629854,3.093027014,1.553991082,0.146592895,0.500577845,3.373997627,1.169666237
8,1.23345E+12,9.737629854,3.093027014,1.553991082,0.146592895,0.500577845,3.373997627,1.169666237
9,1.23353E+12,9.886725517,3.140218569,1.517921514,0.147376855,0.479527148,3.373997627,1.155452307
10,1.23362E+12,10.04554356,3.106107175,1.54948242,0.153648548,0.46921021,3.394330534,1.102723143
11,1.23371E+12,10.1071263,3.235454277,1.427755053,0.152864588,0.464674903,3.3931355,1.102264617
12,1.23E+12,10.42152295,3.305672917,1.40595548,0.151296667,0.447755131,3.418551483,1.125190349
13,1.23388E+12,10.77373342,3.482214393,1.461562765,0.152080627,0.458072069,3.525392775,1.266871377
14,1.23396E+12,10.77373342,3.482214393,1.461562765,0.152080627,0.458072069,3.700404509,1.266871377
15,1.23405E+12,10.77373342,3.482214393,1.461562765,0.152080627,0.458072069,3.700404509,1.266871377
16,1.23414E+12,11.07517571,3.377881544,1.460811298,0.148944776,0.521624405,3.700404509,1.250823348
17,1.23E+12,10.56953801,3.239434261,1.409712674,0.142673093,0.479527148,3.775054715,1.128858457
18,1.23431E+12,10.46041743,3.242561422,1.390182552,0.145024974,0.492732856,3.573130855,1.196260078
19,1.2344E+12,10.72511499,3.24029012,1.414972944,0.140321203,0.482007363,3.568446531,1.200845243
20,1.23448E+12,10.71323053,3.172911479,1.391677889,0.137969321,0.47209898,3.618380317,1.132068046
21,1.23457E+12,10.71323053,3.172911479,1.391677889,0.137969321,0.47209898,3.564860518,1.132068046
22,1.23E+12,10.71323053,3.172911479,1.391677889,0.137969321,0.47209898,3.564860518,1.132068046
23,1.23474E+12,10.71323053,3.172911479,1.391677889,0.137969321,0.47209898,3.564860518,1.132068046
24,1.23483E+12,10.21300582,2.996372814,1.340579264,0.132481599,0.446104424,3.564860518,0.992679641
25,1.23492E+12,10.19571986,3.029062693,1.324798883,0.130913668,0.448163687,3.415161966,0.986260377
26,1.235E+12,9.792730471,2.926435702,1.329307543,0.127777827,0.427946613,3.519312077,0.944535553
27,1.24E+12,9.85323258,2.93013134,1.317284354,0.123865865,0.399015534,3.414961531,0.912439579
28,1.23517E+12,9.85323258,2.93013134,1.317284354,0.123865865,0.399015534,3.452935252,0.912439579
29,1.23526E+12,9.85323258,2.93013134,1.317284354,0.123865865,0.399015534,3.452935252,0.912439579
30,1.23535E+12,9.394062795,2.782302788,1.275203194,0.13561744,0.376469651,3.452935252,0.894557449
31,1.23543E+12,9.750605672,3.043276982,1.346591003,0.15679223,0.386253698,3.289581563,0.963793169
